Manager,Fund,1,2,3,4,5
30593893,090009,229.81 ,129.56 ,149.07 ,154.21 ,170.64 
30000000000000015052,090010,193.13 ,281.53 ,1754.57 ,2237.87 ,2980.31 
30000000000000014864,090011,135.91 ,72.92 ,110.32 ,177.79 ,33.75 
30243576,090020,27.82 ,19.09 ,23.51 ,108.30 ,376.18 
30000000000000014752,096001,260.22 ,178.23 ,244.38 ,220.06 ,393.39 
30000000000000026898,110020,4200.19 ,4858.36 ,5836.48 ,5630.50 ,6413.41 
30000000000000019720,159902,2628.45 ,1981.27 ,2365.39 ,1488.45 ,954.02 
30000000000000022183,159903,454.12 ,349.18 ,401.94 ,375.70 ,297.37 
30000000000000016766,159912,91.67 ,72.66 ,120.53 ,114.43 ,96.04 
30000000000000018845,159912,91.67 ,72.66 ,120.53 ,114.43 ,96.04 
30382125,159916,208.16 ,298.13 ,1007.19 ,605.06 ,464.27 
30000000000000019720,159920,2179.34 ,3900.98 ,4686.76 ,8824.80 ,11639.83 
30000000000000014864,159923,27.18 ,33.20 ,33.28 ,23.92 ,24.06 
30000000000000022071,159925,1169.88 ,1150.08 ,1733.43 ,1553.64 ,1984.70 
30000000000000018845,159928,1570.19 ,1525.88 ,3531.78 ,8408.22 ,11664.39 
30000000000000018845,159929,94.63 ,123.07 ,348.50 ,583.10 ,996.02 
30000000000000018845,159930,12.12 ,14.58 ,30.15 ,197.49 ,193.78 
30000000000000018845,159931,30.22 ,23.52 ,32.21 ,95.58 ,76.05 
30000000000000019333,159933,459.23 ,318.02 ,429.41 ,333.00 ,177.21 
30000000000000014864,159943,336.63 ,207.84 ,251.62 ,169.08 ,105.98 
30000000000000022183,159948,336.32 ,715.42 ,1216.18 ,2439.11 ,2332.15 
30000000000000017320,159952,273.40 ,1321.73 ,1345.27 ,2085.90 ,1377.84 
30000000000000022071,160119,4157.67 ,5265.46 ,9297.94 ,8231.32 ,8613.17 
30000000000000022080,160133,550.17 ,716.66 ,2215.01 ,3177.91 ,1821.84 
30000000000000022183,160135,246.35 ,180.30 ,181.32 ,220.05 ,249.33 
30380532,160322,375.42 ,265.63 ,144.18 ,110.53 ,1898.94 
30000000000000020296,160323,239.53 ,49.38 ,172.71 ,373.22 ,850.73 
30000000000000021571,160613,99.11 ,98.47 ,621.13 ,417.76 ,308.61 
30000000000000021675,160627,291.69 ,335.60 ,377.88 ,507.30 ,494.50 
30000000000000015010,160916,841.01 ,1416.51 ,2770.38 ,4316.90 ,1613.66 
30381892,160918,361.65 ,800.95 ,475.48 ,1672.83 ,856.22 
30000000000000015009,160919,230.74 ,163.51 ,223.47 ,303.18 ,395.28 
30000000000000014752,160922,69.26 ,20.87 ,15.24 ,13.97 ,8.09 
30000000000000014752,160924,210.92 ,25.69 ,17.64 ,84.47 ,79.02 
30000000000000019312,161211,488.88 ,427.20 ,452.11 ,332.89 ,178.74 
30000000000000019333,161217,178.62 ,114.91 ,127.53 ,143.80 ,309.77 
30000000000000019231,161222,277.07 ,177.22 ,158.70 ,150.45 ,220.70 
30381901,161225,213.93 ,114.21 ,123.25 ,124.46 ,194.25 
30000000000000019312,161227,503.19 ,292.03 ,379.12 ,445.65 ,396.72 
30381901,161232,942.73 ,337.19 ,446.00 ,487.14 ,517.48 
30381901,161233,965.40 ,184.34 ,177.59 ,685.39 ,545.06 
30000000000000023779,161604,7817.29 ,3770.08 ,5421.34 ,6298.29 ,5930.56 
30000000000000023602,161606,1014.35 ,955.77 ,5187.46 ,8684.26 ,3237.98 
30000000000000023814,161607,844.69 ,622.30 ,1146.48 ,939.44 ,700.70 
30000000000000023602,161610,3540.60 ,2566.94 ,3649.81 ,3233.78 ,1896.71 
30000000000000023814,161612,154.19 ,103.23 ,137.84 ,120.12 ,99.70 
30000000000000023814,161613,476.21 ,563.68 ,794.79 ,627.81 ,535.31 
30000000000000023779,161631,142.46 ,303.14 ,521.22 ,905.22 ,636.57 
30000000000000022241,162207,967.18 ,701.66 ,1042.23 ,1055.31 ,754.85 
30000000000000022186,162208,533.22 ,278.53 ,440.62 ,601.19 ,652.45 
30000000000000022201,162214,112.03 ,70.33 ,107.52 ,83.60 ,62.02 
30000000000000018239,162509,196.71 ,143.12 ,220.83 ,326.28 ,158.16 
30000000000000015927,162605,2494.62 ,2835.74 ,8152.82 ,13622.81 ,21648.61 
30000000000000026574,162703,2305.89 ,1899.05 ,4641.34 ,15883.37 ,13162.23 
30000000000000017320,162711,1238.81 ,1083.45 ,1711.97 ,1415.99 ,1608.40 
30000000000000020537,163209,15.06 ,11.96 ,16.97 ,57.95 ,128.69 
30382113,163302,820.77 ,580.74 ,627.08 ,780.29 ,769.15 
30000000000000017842,164508,87.28 ,52.37 ,152.94 ,40.09 ,29.46 
30000000000000016766,164705,577.81 ,362.06 ,279.20 ,295.52 ,228.63 
30000000000000016297,164811,42.74 ,22.03 ,18.73 ,14.10 ,12.53 
30000000000000018150,165309,521.85 ,492.90 ,554.27 ,473.32 ,458.00 
30000000000000018150,165310,165.89 ,100.36 ,115.42 ,173.83 ,295.55 
30000000000000025372,166001,2748.43 ,1553.19 ,4051.44 ,7160.48 ,5787.12 
30000000000000025372,166002,4186.10 ,4363.49 ,8150.89 ,12293.03 ,14320.08 
30000000000000024384,166005,5709.87 ,10003.77 ,2710.69 ,2741.54 ,2864.65 
30379788,166005,5709.87 ,10003.77 ,2710.69 ,2741.54 ,2864.65 
30000000000000022897,166006,4558.98 ,4856.46 ,5755.79 ,14007.24 ,8274.73 
30000000000000016757,166009,2098.70 ,502.50 ,532.73 ,1511.17 ,2097.96 
30000000000000024384,166020,64.87 ,120.36 ,42.74 ,52.56 ,119.47 
30000000000000024384,166024,7500.38 ,6063.53 ,7702.60 ,431.02 ,482.55 
30000000000000017731,168203,556.27 ,116.44 ,245.07 ,83.59 ,508.04 
30000000000000017731,168204,1128.97 ,478.45 ,454.89 ,308.88 ,884.06 
30000000000000097687,169104,1821.88 ,1234.42 ,940.94 ,4187.51 ,6519.50 
30000000000000023475,180013,1286.39 ,770.55 ,916.06 ,1081.05 ,756.37 
30000000000000023484,180031,3622.59 ,2309.97 ,5132.02 ,7683.81 ,4383.39 
30000000000000013327,200001,101.64 ,69.04 ,94.93 ,93.80 ,127.29 
30000000000000013242,200002,685.42 ,719.29 ,881.99 ,776.00 ,686.16 
30000000000000013376,200007,2123.92 ,1365.08 ,1604.02 ,1750.63 ,1427.81 
30000000000000013242,200008,4289.23 ,2671.80 ,3714.22 ,3043.53 ,2316.14 
30000000000000013376,200012,153.10 ,152.36 ,175.84 ,1283.60 ,1579.22 
30000000000000021794,202001,2137.76 ,1537.67 ,1925.16 ,2631.73 ,2350.22 
30000000000000021794,202002,1936.26 ,1375.80 ,1737.93 ,2145.58 ,1810.47 
30000000000000022087,202003,5181.50 ,4044.07 ,5430.05 ,7841.54 ,6096.28 
30000000000000206392,202005,4912.28 ,2964.54 ,3829.49 ,4720.03 ,3192.46 
30000000000000022080,202007,2373.02 ,1861.63 ,2108.58 ,2175.05 ,1380.31 
30000000000000022188,202011,1550.89 ,1111.03 ,1476.93 ,2126.04 ,1478.19 
30000000000000022071,202015,915.34 ,992.50 ,1459.44 ,1176.65 ,1380.25 
30000000000000022183,202017,303.19 ,223.60 ,261.57 ,239.60 ,188.47 
30000000000000022087,202023,833.77 ,949.91 ,1168.29 ,3271.54 ,4310.07 
30000000000000206392,202212,325.19 ,217.60 ,272.89 ,403.60 ,354.03 
30000000000000021635,206009,984.01 ,2091.81 ,3132.38 ,13963.51 ,6042.70 
30377321,213010,220.32 ,204.18 ,234.93 ,392.43 ,240.07 
