Stock,BM_Y1,BM_Y2,BM_Y3,BM_Y4,BM_Y5,MarketCap_Y1,MarketCap_Y2,MarketCap_Y3,MarketCap_Y4,MarketCap_Y5,Return_Y1,Return_Y2,Return_Y3,Return_Y4,Return_Y5
600035.SH,1.220511989,1.134792066,1.357457466,1.379732181,1.372310052,5097.856119,5772.882165,4685.437272,5071.865088,5458.292904,-0.413453935,0.1935,-0.102337537,0.108237113,0.122681905
600036.SH,0.850182531,0.65036252,0.660372394,0.696970163,0.997745579,635296.5159,939938.8516,1095972.525,1232111.567,947639.3782,-0.103324604,0.531385,0.205759713,0.136566667,-0.201789982
600037.SH,1.091307832,1.070994924,0.990014054,1.062004372,1.156378362,11955.37202,12539.91873,12804.35653,12080.63203,11329.07198,-0.328472286,0.066935041,0.066015538,-0.052087391,-0.057335484
600038.SH,0.350443232,0.29067525,0.239869177,0.203352526,0.356467647,22022.85011,28123.93412,36966.08486,47334.98029,27357.61439,-0.192420202,0.284951874,0.320577175,0.28997321,-0.416089377
600039.SH,1.181982366,1.285661985,1.049533096,0.472194715,0.603640795,11842.52367,12131.36571,21546.842,57496.18068,69236.86494,-0.181047666,0.038936585,0.36534881,1.778276718,-0.036328239
600048.SH,0.869369905,0.808107898,0.95195324,1.045261748,1.083658346,140242.3931,193070.6841,189327.6802,187092.7815,181112.8089,-0.141871307,0.428753011,0.032406551,0.051912832,0.002180998
600050.SH,0.873642876,0.78411542,1.067801557,1.225138215,1.083423899,160413.7864,182788.5265,138329.5559,121796.1753,142483.8743,-0.179905687,0.149176596,-0.233470628,-0.094348075,0.174849598
600051.SH,1.424621547,1.426052049,1.064759546,1.350028342,1.388243304,1675.6432,1865.28,2769.9408,2322.2736,2344.0352,-0.415845175,0.140333952,0.5201945,-0.13730303,0.02481419
600052.SH,0.976388674,0.919047583,1.352628693,0.760833416,0.634842326,2510.752585,3923.050914,2498.816433,4389.812653,4609.303286,-0.240105541,0.603125,-0.324593778,0.756756757,0.05
600053.SH,0.212277696,0.237986514,0.316900952,0.404991201,0.456468971,10205.55043,11024.94254,8475.72264,6767.571888,6407.733024,-0.014650481,0.113777825,-0.231222965,-0.201534527,-0.053171044
600054.SH,0.604241949,0.719783627,0.753332212,0.71570137,0.523745123,6756.394459,6056.095983,5658.397173,6001.343903,7796.039235,-0.32887316,-0.008701493,-0.008282879,0.087973274,0.315988536
600055.SH,0.41849249,0.37429154,0.417100563,0.186071532,0.335235599,4694.284607,5581.223174,5473.059934,12876.8337,13737.81307,-0.45324163,0.201067281,-0.016339922,1.369471443,-0.175971693
600056.SH,0.629274148,0.645085555,0.653453907,0.812913404,0.419638971,13430.86316,13943.73622,15311.3977,12618.81416,25774.00806,-0.485634994,0.071927208,0.119496935,-0.151377739,1.060013548
600057.SH,1.342552458,1.517180667,1.152204622,0.939807795,0.738311077,9018.158075,8953.434453,12987.87359,18316.78518,23149.54525,-0.226570828,0.048688281,0.509641928,0.481096013,0.280060542
