Stock,证券名称,Return_Y1,Return_Y2,Return_Y3,Return_Y4,Return_Y5,MarketCap_Y1,MarketCap_Y2,MarketCap_Y3,MarketCap_Y4,MarketCap_Y5,PB_Y1,PB_Y2,PB_Y3,PB_Y4,PB_Y5
870199.BJ,倍益康,0,0,0,0,-94.07,245.62,0,0,0,0,0.03,0.03,0.02,0.02,0.01
870204.BJ,沪江材料,0,0,0,0,-32.56,139.07,0,0,0,0,0,0,0,0,0.01
870299.BJ,灿能电力,0,0,0,0,-38.36,99.97,0,0,0,0,0,0,0.01,0.03,0.04
870357.BJ,雅葆轩,0,0,0,0,-77.28,177.79,0,0,0,0,0,0,0,0,0.07
870436.BJ,大地电气,0,0,0,47217.76,-66.18,304.72,503.33,0,0,0,0,0.02,0.02,0.04,0.06
870508.BJ,丰安股份,0,0,0,0,-95.44,200.83,0,0,0,0,0,0,0,0.01,0.04
870866.BJ,绿亨科技,0,0,0,0,-98.04,312.11,0,0,0,0,0.01,0.01,0.01,0.02,0.04
871245.BJ,威博液压,0,0,0,0,12.92,129.72,0,0,0,0,0,0,0,0.02,0.02
871396.BJ,常辅股份,0,0,5.5,86.7,-45.22,266.94,342.61,200.65,0,0,0,0.02,0.01,0.02,0.03
871478.BJ,巨能股份,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08
871553.BJ,凯腾精工,0,0,0,257.18,-41.09,309.35,368.13,0,0,0,0,0.02,0.02,0.02,0.03
871634.BJ,新威凌,0,0,0,0,-85.38,105.5,0,0,0,0,0,0.02,0.01,0.01,0.04
871642.BJ,通易航天,0,0,0,708.98,-44.96,410.57,612.93,0,0,0,0.07,0.06,0.04,0.06,0.06
871694.BJ,中裕科技,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04
871753.BJ,天纺标,0,0,0,0,-81.65,99.5,0,0,0,0,0,0,0,0.08,0.06
871857.BJ,泓禧科技,0,0,0,0,-30.72,194.41,0,0,0,0,0,0,0,0.04,0.04
871970.BJ,大禹生物,0,0,0,0,-27.81,160.83,0,0,0,0,0.06,0.05,0.04,0.03,0.03
871981.BJ,晶赛科技,0,0,0,44826.4,-58.86,476.18,547.55,0,0,0,0,0,0,0.06,0.11
872190.BJ,雷神科技,0,0,0,0,-100,394.21,0,0,0,0,0,0,0,0.03,0.04
872351.BJ,华光源海,0,0,0,0,-100,193.7,0,0,0,0,0.02,0.03,0.02,0.01,0.01
872374.BJ,云里物里,0,0,0,0,-71.99,247.75,0,0,0,0,0,0,0.12,0.06,0.18
872392.BJ,佳合科技,0,0,0,0,-99.82,112.18,0,0,0,0,0,0,0,0.03,0.04
872541.BJ,铁大科技,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0
872808.BJ,曙光数创,0,0,0,0,-25.45,715.47,0,0,0,0,0,0.06,0.06,0.16,0.36
872895.BJ,花溪科技,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.07
872925.BJ,锦好医疗,0,0,0,676.09,-45.72,401.19,374.4,0,0,0,0,0,0,0.11,0.09
873001.BJ,纬达光电,0,0,0,0,-100,220.11,0,0,0,0,0,0,0,0,0
873122.BJ,中纺标,0,0,0,0,326.68,99.36,0,0,0,0,0,0,0,0,0.03
873152.BJ,天宏锂电,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.33
873167.BJ,新赣江,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04
873169.BJ,七丰精工,0,0,0,0,1.33,162.67,0,0,0,0,0,0,0,0.02,0.04
873223.BJ,荣亿精密,0,0,0,0,0,155.32,0,0,0,0,0,0,0,0,0.05
873305.BJ,九菱科技,0,0,0,0,-98.98,90.83,0,0,0,0,0,0,0,0,0.03
873339.BJ,恒太照明,0,0,0,0,-82.88,284.53,0,0,0,0,0,0,0,0.06,0.04
873527.BJ,夜光明,0,0,0,0,-80.91,188.61,0,0,0,0,0,0,0,0.03,0.02
873593.BJ,鼎智科技,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600000.SH,浦发银行,-21.88,31,-17.67,-5.81,-10.29,213683.83,250373.99,284128.72,347643.56,353826.39,0.01,0.01,0.01,0.01,0
600004.SH,白云机场,-31.2,77.77,-20.19,-11.34,25.57,35524.44,24956.01,29239.5,36109.64,30419.01,0.02,0.01,0.02,0.02,0.02
600006.SH,东风汽车,-38.88,30.23,115.16,-25.37,-17.87,11160,13620,18880,9160,11700,0.02,0.01,0.01,0.02,0.02
